name,R1
lib1-Huh-7.5-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-1-Sample_S5_L001_R1_001.fastq.gz
lib2-Huh-7.5-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-2-Sample_S6_L001_R1_001.fastq.gz
wt-plasmid-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-WT-Plasmid_S10_L001_R1_001.fastq.gz
lib2-plasmid-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-2-Plasmid_S15_L001_R1_001.fastq.gz
lib3-Huh-7.5-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-3-Sample_S7_L001_R1_001.fastq.gz
lib1-plasmid-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-1-Plasmid_S14_L001_R1_001.fastq.gz
lib3-plasmid-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-Lib-3-Plasmid_S16_L001_R1_001.fastq.gz
wt-Huh-7.5-210702,/shared/ngs/illumina/bloom_lab/210702_M03100_0691_000000000-JP3WB/Data/Intensities/BaseCalls/Tile-8-WT-Sample_S8_L001_R1_001.fastq.gz
lib1-C6-36-multi,/fh/fast/bloom_j/computational_notebooks/dbacsik/2022/ZIKV_DMS_NS5_EvansLab/data/concat_fastqs/concat_fastq_out/lib1_C636_R1.fastq.gz
lib2-C6-36-multi,/fh/fast/bloom_j/computational_notebooks/dbacsik/2022/ZIKV_DMS_NS5_EvansLab/data/concat_fastqs/concat_fastq_out/lib2_C636_R1.fastq.gz
lib3-C6-36-multi,/fh/fast/bloom_j/computational_notebooks/dbacsik/2022/ZIKV_DMS_NS5_EvansLab/data/concat_fastqs/concat_fastq_out/lib3_C636_R1.fastq.gz
wt-C6-36-multi,/fh/fast/bloom_j/computational_notebooks/dbacsik/2022/ZIKV_DMS_NS5_EvansLab/data/concat_fastqs/concat_fastq_out/wt_C636_R1.fastq.gz
lib1-Huh-7.5-noSTAT2-240130,/shared/ngs/illumina/ckikawa/240130_M00492_0192_000000000-L5NF8/Unaligned/Project_bloom_lab/BR011024_Tile_8_Library_1_S4_R1_001.fastq.gz
lib2-Huh-7.5-noSTAT2-240130,/shared/ngs/illumina/ckikawa/240130_M00492_0192_000000000-L5NF8/Unaligned/Project_bloom_lab/BR011024_Tile_8_Library_2_S5_R1_001.fastq.gz
lib3-Huh-7.5-noSTAT2-240130,/shared/ngs/illumina/ckikawa/240130_M00492_0192_000000000-L5NF8/Unaligned/Project_bloom_lab/BR011024_Tile_8_Library_3_S6_R1_001.fastq.gz
wt-Huh-7.5-noSTAT2-240130,/shared/ngs/illumina/ckikawa/240130_M00492_0192_000000000-L5NF8/Unaligned/Project_bloom_lab/BR011024_Tile_8_WT_S8_R1_001.fastq.gz
