library,selection,date,R1,SRA_accession
lib3,Huh-7.5,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-3_Sample_S29_R1_001.fastq.gz,
lib3,plasmid,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-3_Plasmid_S33_R1_001.fastq.gz,
lib1,Huh-7.5,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-1_Sample_S27_R1_001.fastq.gz,
lib1,plasmid,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-1_Plasmid_S31_R1_001.fastq.gz,
lib2,plasmid,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-2_Plasmid_S32_R1_001.fastq.gz,
lib2,Huh-7.5,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/Tile_6-2_Sample_S28_R1_001.fastq.gz,
wt,plasmid,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/WT_Tile_6_Plasmid_S30_R1_001.fastq.gz,
wt,Huh-7.5,210921,/shared/ngs/illumina/bloom_lab/210921_D00300_1326_BHMTYKBCX3/Unaligned/Project_bloom_lab/WT_Tile_6_Sample_S26_R1_001.fastq.gz,
lib1,C6-36,multi,data/concat_fastq_out/lib1_C636_R1.fastq.gz,
lib2,C6-36,multi,data/concat_fastq_out/lib2_C636_R1.fastq.gz,
lib3,C6-36,multi,data/concat_fastq_out/lib3_C636_R1.fastq.gz,
wt,C6-36,multi,data/concat_fastq_out/wt_C636_R1.fastq.gz,
