library,selection,date,R1,SRA_accession
wt,plasmid,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-WT-plasmid_S5_L001_R1_001.fastq.gz,
lib1,plasmid,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib1-plasmid_S6_L001_R1_001.fastq.gz,
lib2,plasmid,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib2-plasmid_S7_L001_R1_001.fastq.gz,
lib3,plasmid,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib3-plasmid_S8_L001_R1_001.fastq.gz,
wt,no-IFN,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-WT-No-IFN_S9_L001_R1_001.fastq.gz,
lib1,no-IFN,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib1-No-IFN_S10_L001_R1_001.fastq.gz,
lib2,no-IFN,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib2-No-IFN_S11_L001_R1_001.fastq.gz,
lib3,no-IFN,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib3-No-IFN_S12_L001_R1_001.fastq.gz,
wt,IFN-20-U-ml,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-WT-Yes-IFN_S13_L001_R1_001.fastq.gz,
lib1,IFN-20-U-ml,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib1-Yes-IFN_S14_L001_R1_001.fastq.gz,
lib2,IFN-20-U-ml,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib2-Yes-IFN_S15_L001_R1_001.fastq.gz,
lib3,IFN-20-U-ml,201112,/shared/ngs/illumina/bloom_lab/201112_M04866_0426_000000000-JBYVJ_new-demux/Data/Intensities/BaseCalls/BR-Lib3-Yes-IFN_S16_L001_R1_001.fastq.gz,
lib1,IFN-500-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_500_Lib1_S18_R1_001.fastq.gz,
lib1,no-IFN,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_0_IFN_Lib1_S2_R1_001.fastq.gz,
wt,IFN-12-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_12_WT_S5_R1_001.fastq.gz,
lib3,IFN-42-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_42_Lib3_S16_R1_001.fastq.gz,
lib2,no-IFN,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_0_IFN_Lib2_S3_R1_001.fastq.gz,
lib3,no-IFN,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_0_IFN_Lib3_S4_R1_001.fastq.gz,
lib2,IFN-42-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_42_Lib2_S15_R1_001.fastq.gz,
lib3,IFN-12-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_12_Lib3_S8_R1_001.fastq.gz,
lib1,IFN-145-U-ml-18hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_18h_145_Lib1_S22_R1_001.fastq.gz,
lib1,IFN-12-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_12_Lib1_S6_R1_001.fastq.gz,
lib2,IFN-145-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_145_Lib2_S11_R1_001.fastq.gz,
lib1,IFN-145-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_145_Lib1_S10_R1_001.fastq.gz,
lib2,IFN-500-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_500_Lib2_S19_R1_001.fastq.gz,
lib3,IFN-145-U-ml-18hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_18h_145_Lib3_S24_R1_001.fastq.gz,
lib1,IFN-42-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_42_Lib1_S14_R1_001.fastq.gz,
wt,IFN-145-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_145_WT_S9_R1_001.fastq.gz,
wt,IFN-500-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_500_WT_S17_R1_001.fastq.gz,
wt,IFN-145-U-ml-18hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_18h_145_WT_S21_R1_001.fastq.gz,
lib3,IFN-145-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_145_Lib3_S12_R1_001.fastq.gz,
wt,IFN-42-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_42_WT_S13_R1_001.fastq.gz,
lib3,IFN-500-U-ml-12hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_12h_500_Lib3_S20_R1_001.fastq.gz,
wt,no-IFN,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_0_IFN_WT_S1_R1_001.fastq.gz,
lib2,IFN-12-U-ml-6hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_6h_12_Lib2_S7_R1_001.fastq.gz,
lib2,IFN-145-U-ml-18hr,210313,/shared/ngs/illumina/bloom_lab/210312_D00300_1192_BHKHNYBCX3/Unaligned/Project_dbacsik/BR_18h_145_Lib2_S23_R1_001.fastq.gz,
