library,selection,date,R1,SRA_accession
lib3,plasmid,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/lib-3-plasmid_S3_L001_R1_001.fastq.gz,
lib1,Huh-7.5,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/tile-2-lib-1_S5_L001_R1_001.fastq.gz,
lib3,Huh-7.5,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/tile-2-lib-3_S7_L001_R1_001.fastq.gz,
wt,Huh-7.5,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/tile-2-wt_S8_L001_R1_001.fastq.gz,
wt,plasmid,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/WT-plasmid_S4_L001_R1_001.fastq.gz,
lib2,plasmid,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/lib-2-plasmid_S2_L001_R1_001.fastq.gz,
lib1,plasmid,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/lib-1-plasmid_S1_L001_R1_001.fastq.gz,
lib2,Huh-7.5,210528,/shared/ngs/illumina/bloom_lab/210528_M03100_0686_000000000-JNHMH/Data/Intensities/BaseCalls/tile-2-lib-2_S6_L001_R1_001.fastq.gz,
wt,C6-36,FebApr-2022,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_DMS_NS5_EvansLab/data/concat_c636/concatenated_WT_S4_R1_001.fastq.gz,
lib1,C6-36,FebApr-2022,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_DMS_NS5_EvansLab/data/concat_c636/concatenated_lib1_S1_R1_001.fastq.gz,
lib2,C6-36,FebApr-2022,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_DMS_NS5_EvansLab/data/concat_c636/concatenated_lib2_S2_R1_001.fastq.gz,
lib3,C6-36,FebApr-2022,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_DMS_NS5_EvansLab/data/concat_c636/concatenated_lib3_S3_R1_001.fastq.gz,
